time_sec,target_temp,current_temp,error,controller_output,controller_output_percent,duty_cnt,duty_percent,state,state_name,status_word,kp,ki
0.015622377395629883,80.0,25.0,55.0,0.0,0.0,0,0.0,0,IDLE,0,0.055,0.0003
0.5155773162841797,80.0,25.0,55.0,1.0,100.0,100000,100.0,1,RUN,1,0.055,0.0003
1.0155303478240967,80.0,25.0,55.0,1.0,100.0,100000,100.0,1,RUN,1,0.055,0.0003
1.4998610019683838,80.0,30.88843536376953,49.986297607421875,1.0,100.0,100000,100.0,1,RUN,1,0.055,0.0003
1.999814748764038,80.0,37.844322204589844,42.98963928222656,1.0,100.0,100000,100.0,1,RUN,1,0.055,0.0003
2.546639919281006,80.0,45.634002685546875,35.60392761230469,1.0,100.0,100000,100.0,1,RUN,1,0.055,0.0003
3.0309696197509766,80.0,51.6910514831543,29.762226104736328,1.0,100.0,100000,100.0,1,RUN,1,0.055,0.0003
3.53092360496521,80.0,57.37887954711914,23.949214935302734,1.0,100.0,100000,100.0,1,RUN,1,0.055,0.0003
4.0308778285980225,80.0,62.719993591308594,18.530780792236328,1.0,100.0,100000,100.0,1,RUN,1,0.055,0.0003
4.546454191207886,80.0,67.73553466796875,13.209831237792969,0.7378275990486145,73.78275990486145,73782,73.782,1,RUN,1,0.055,0.0003
5.03078556060791,80.0,72.4453353881836,8.684600830078125,0.49645930528640747,49.64593052864075,49645,49.645,1,RUN,1,0.055,0.0003
5.515115737915039,80.0,75.9381332397461,4.898918151855469,0.29295864701271057,29.295864701271057,29295,29.295,1,RUN,1,0.055,0.0003
5.999445676803589,80.0,77.19108581542969,2.9532928466796875,0.18849430978298187,18.849430978298187,18849,18.849,1,RUN,1,0.055,0.0003
6.483776092529297,80.0,77.0455093383789,2.8751602172851562,0.18618987500667572,18.618987500667572,18618,18.618,1,RUN,1,0.055,0.0003
6.999354124069214,80.0,75.64389038085938,4.142677307128906,0.2583869397640228,25.838693976402283,25838,25.838,1,RUN,1,0.055,0.0003
7.499307632446289,80.0,73.86721801757812,5.948051452636719,0.3614921569824219,36.14921569824219,36149,36.149,1,RUN,1,0.055,0.0003
8.014884948730469,80.0,72.24376678466797,7.434043884277344,0.4483188986778259,44.83188986778259,44831,44.831,1,RUN,1,0.055,0.0003
8.530462265014648,80.0,71.71600341796875,8.214401245117188,0.4971783757209778,49.71783757209778,49717,49.717,1,RUN,1,0.055,0.0003
9.014792680740356,80.0,71.91603088378906,8.198509216308594,0.5020006895065308,50.200068950653076,50200,50.2,1,RUN,1,0.055,0.0003
9.530369997024536,80.0,72.56877136230469,7.619422912597656,0.4761003851890564,47.61003851890564,47610,47.61,1,RUN,1,0.055,0.0003
10.014700412750244,80.0,73.34669494628906,6.8498382568359375,0.43897613883018494,43.897613883018494,44147,44.147,1,RUN,1,0.055,0.0003
10.51465368270874,80.0,73.97783660888672,6.188102722167969,0.40744662284851074,40.744662284851074,40744,40.744,1,RUN,1,0.055,0.0003
10.998984813690186,80.0,74.27989959716797,5.7586669921875,0.38792097568511963,38.79209756851196,38792,38.792,1,RUN,1,0.055,0.0003
11.498937368392944,80.0,74.39488220214844,5.608970642089844,0.3839307129383087,38.39307129383087,38393,38.393,1,RUN,1,0.055,0.0003
11.983269453048706,80.0,74.29710388183594,5.6842803955078125,0.39196082949638367,39.19608294963837,39196,39.196,1,RUN,1,0.055,0.0003
12.483222961425781,80.0,74.10813903808594,5.8621826171875,0.40590226650238037,40.59022665023804,40590,40.59,1,RUN,1,0.055,0.0003
13.030046939849854,80.0,73.9193115234375,6.0507965087890625,0.42110997438430786,42.110997438430786,42110,42.11,1,RUN,1,0.055,0.0003
13.530000686645508,80.0,73.86956024169922,6.126434326171875,0.4296616315841675,42.96616315841675,42966,42.966,1,RUN,1,0.055,0.0003
