time_sec,target_temp,current_temp,error,u_ctrl,u_percent,duty_cnt,duty_percent,state,state_name,status_word
0.16672658920288086,80.0,25.0,55.0,1.0,100.0,100000,100.0,1,RUN,1
0.3695564270019531,80.0,25.0,55.0,1.0,100.0,100000,100.0,1,RUN,1
0.5730147361755371,80.0,25.0,55.0,1.0,100.0,100000,100.0,1,RUN,1
0.7758359909057617,80.0,25.0,55.0,1.0,100.0,100000,100.0,1,RUN,1
0.9807021617889404,80.0,25.0,55.0,1.0,100.0,100000,100.0,1,RUN,1
1.1820406913757324,80.0,26.5,55.0,1.0,100.0,100000,100.0,1,RUN,1
1.3855514526367188,80.0,29.443984985351562,52.01874923706055,1.0,100.0,100000,100.0,1,RUN,1
1.5888068675994873,80.0,32.3148307800293,49.11156463623047,1.0,100.0,100000,100.0,1,RUN,1
1.792051076889038,80.0,35.11435317993164,46.27660369873047,1.0,100.0,100000,100.0,1,RUN,1
1.994335651397705,80.0,37.844322204589844,43.51207733154297,1.0,100.0,100000,100.0,1,RUN,1
2.1999361515045166,80.0,40.506473541259766,40.81623077392578,1.0,100.0,100000,100.0,1,RUN,1
2.4023053646087646,80.0,43.10248565673828,38.187355041503906,1.0,100.0,100000,100.0,1,RUN,1
2.605490207672119,80.0,45.634002685546875,35.62379455566406,1.0,100.0,100000,100.0,1,RUN,1
2.8072869777679443,80.0,48.102630615234375,33.12392044067383,1.0,100.0,100000,100.0,1,RUN,1
3.0108373165130615,80.0,50.509925842285156,30.686153411865234,1.0,100.0,100000,100.0,1,RUN,1
3.217151641845703,80.0,52.85741424560547,28.308948516845703,1.0,100.0,100000,100.0,1,RUN,1
3.4170639514923096,80.0,55.146583557128906,25.990802764892578,1.0,100.0,100000,100.0,1,RUN,1
3.635373592376709,80.0,57.37887954711914,23.730247497558594,1.0,100.0,100000,100.0,1,RUN,1
3.838355302810669,80.0,59.55571746826172,21.525856018066406,1.0,100.0,100000,100.0,1,RUN,1
4.0433409214019775,80.0,61.67847442626953,19.37622833251953,1.0,100.0,100000,100.0,1,RUN,1
4.247155666351318,80.0,63.74849319458008,17.280006408691406,1.0,100.0,100000,100.0,1,RUN,1
4.447606086730957,80.0,65.76708984375,15.235862731933594,1.0,100.0,100000,100.0,1,RUN,1
4.650836706161499,80.0,67.73553466796875,13.242500305175781,1.0,100.0,100000,100.0,1,RUN,1
4.853648900985718,80.0,69.65507507324219,11.298660278320312,1.0,100.0,100000,100.0,1,RUN,1
5.056926727294922,80.0,71.52692413330078,9.403114318847656,1.0,100.0,100000,100.0,1,RUN,1
5.2604169845581055,80.0,73.3522720336914,7.554664611816406,1.0,100.0,100000,100.0,1,RUN,1
5.464288711547852,80.0,75.13227081298828,5.752128601074219,1.0,100.0,100000,100.0,1,RUN,1
5.666313171386719,80.0,77.7197036743164,3.1319503784179688,1.0,100.0,100000,100.0,1,RUN,1
5.8697731494903564,80.0,79.39119720458984,1.4392929077148438,1.0,100.0,100000,100.0,1,RUN,1
6.073116779327393,80.0,81.02117156982422,-0.21131134033203125,0.0,0.0,0,0.0,1,RUN,1
6.276167154312134,80.0,82.61064910888672,-1.8209075927734375,0.0,0.0,0,0.0,1,RUN,1
6.4794628620147705,80.0,84.16063690185547,-3.3905181884765625,0.0,0.0,0,0.0,1,RUN,1
6.692607879638672,80.0,85.67211151123047,-4.9211273193359375,0.0,0.0,0,0.0,1,RUN,1
6.897864103317261,80.0,87.14604187011719,-6.4137115478515625,0.0,0.0,0,0.0,1,RUN,1
7.1011576652526855,80.0,88.5833511352539,-7.8692169189453125,0.0,0.0,0,0.0,1,RUN,1
7.307503700256348,80.0,87.00370025634766,-7.7885589599609375,0.0,0.0,0,0.0,1,RUN,1
7.510139226913452,80.0,85.46329498291016,-6.2286529541015625,0.0,0.0,0,0.0,1,RUN,1
7.713451147079468,80.0,83.9611587524414,-4.7075042724609375,0.0,0.0,0,0.0,1,RUN,1
7.917071580886841,80.0,82.49634552001953,-3.2241439819335938,0.0,0.0,0,0.0,1,RUN,1
8.11973762512207,80.0,81.06792449951172,-1.7776412963867188,0.0,0.0,0,0.0,1,RUN,1
8.338641166687012,80.0,79.67498779296875,-0.36707305908203125,0.0,0.0,0,0.0,1,RUN,1
8.55765700340271,80.0,78.31665802001953,1.0084457397460938,1.0,100.0,100000,100.0,1,RUN,1
8.762794494628906,80.0,76.99207305908203,2.3498001098632812,1.0,100.0,100000,100.0,1,RUN,1
8.966258525848389,80.0,75.06664276123047,4.2996063232421875,1.0,100.0,100000,100.0,1,RUN,1
9.168744802474976,80.0,73.82279968261719,5.5591888427734375,1.0,100.0,100000,100.0,1,RUN,1
9.370059490203857,80.0,72.60986328125,6.787483215332031,1.0,100.0,100000,100.0,1,RUN,1
9.588362216949463,80.0,74.40830993652344,6.485260009765625,1.0,100.0,100000,100.0,1,RUN,1
9.791106700897217,80.0,76.16207885742188,4.70928955078125,1.0,100.0,100000,100.0,1,RUN,1
9.994372844696045,80.0,77.87226867675781,2.977447509765625,1.0,100.0,100000,100.0,1,RUN,1
10.198007583618164,80.0,79.53997039794922,1.28863525390625,1.0,100.0,100000,100.0,1,RUN,1
10.416868925094604,80.0,81.16624450683594,-0.35822296142578125,0.0,0.0,0,0.0,1,RUN,1
10.63500714302063,80.0,82.75211334228516,-1.9641647338867188,0.0,0.0,0,0.0,1,RUN,1
10.838297367095947,80.0,84.298583984375,-3.53021240234375,0.0,0.0,0,0.0,1,RUN,1
11.044184923171997,80.0,85.80663299560547,-5.057350158691406,0.0,0.0,0,0.0,1,RUN,1
11.244606018066406,80.0,87.2772216796875,-6.5465545654296875,0.0,0.0,0,0.0,1,RUN,1
11.447405576705933,80.0,88.71127319335938,-7.998756408691406,0.0,0.0,0,0.0,1,RUN,1
11.666399717330933,80.0,86.35184478759766,-7.128448486328125,0.0,0.0,0,0.0,1,RUN,1
11.871494770050049,80.0,84.82763671875,-5.5849456787109375,0.0,0.0,0,0.0,1,RUN,1
12.072707176208496,80.0,83.34130096435547,-4.079795837402344,0.0,0.0,0,0.0,1,RUN,1
